Gene	Module
arhgef7-like.s[arhgef7(2e-116)]	8
arid2-like.l[arid2(2e-38)]	26
arid2-like.s[arid2(0.0)]	26
arid3b.l[arid3b(2e-133)]	108
arid3b.s[arid3b(1e-130)]	108
arih1.l[arih1(0.0)]	14
arih2.s[arih2(0.0)]	46
arl1.l[arl1(0.0)]	30
arl1.s[arl1(0.0)]	36
arl10b.l[xb-gene-947799(0.0)]	5
arl10b.s[xb-gene-947799(5e-131)]	1
arl13b.l[arl13b(0.0)]	20
arl14ep.l[c11orf46(1e-90)]	12
arl2bp.l[arl2bp(0.0)]	36
arl4a.l[arl4a(8e-53)]	121
arl4a.s[arl4a(0.0)]	14
arl6ip1.l[arl6ip1(0.0)]	134
arl6ip4.l[arl6ip4(0.0)]	2
arl6ip5.l[arl6ip5(1e-151)]	104
arl6ip6-like.l[arl6ip6(2e-111)]	7
arl6ip6-like.s[arl6ip6(2e-96)]	2
arl8b.s[arl8b(4e-26)]	121
armc1.l[armc1(0.0)]	10
armc1.s[armc1(0.0)]	29
armc4.s[armc4(0.0)]	22
armc9.1[armc9(0.0)]	9
arnt.s[arnt(0.0)]	5
arpc1b.l[arpc1b(0.0)]	6
arpc1b.s[arpc1b(0.0)]	7
arpc4.s[arpc4(0.0)]	15
arpc5.l[arpc5(7e-127)]	12
arpc5.s[arpc5(0.0)]	1
arpc5l.l[arpc5l(8e-130)]	2
arpp19.l[arpp19(0.0)]	10
arpp19.s[arpp19(0.0)]	1
asb7.l[asb7(3e-40)]	3
asb9.l[asb9(7e-83)]	5
ascc2.s[ascc2(0.0)]	6
ash2l.l[ash2l(1e-97)]	25
ash2l.s[ash2l(1e-91)]	88
asl.l[asl(0.0)]	120
asmtl.l[asmtl(0.0)]	10
asna1.1[asna1(0.0)]	2
asna1.l[asna1(3e-51)]	2
asnsd1-like.l[asnsd1(4e-161)]	2
aspg.l[aspg(0.0)]	7
aspscr1.s[aspscr1(9e-132)]	1
asrgl1.1[asrgl1(0.0)]	12
